vocabulary size: 226
n tunes: 4083
n train tunes: 3891.0
n validation tunes: 192.0
7800/10943 (epoch 64.148) train_loss=186.94241333 time/batch=0.44s
7801/10943 (epoch 64.156) train_loss=305.58676147 time/batch=0.73s
7802/10943 (epoch 64.164) train_loss=403.97540283 time/batch=0.94s
7803/10943 (epoch 64.173) train_loss=161.99993896 time/batch=0.47s
7804/10943 (epoch 64.181) train_loss=442.77038574 time/batch=0.94s
7805/10943 (epoch 64.189) train_loss=212.93048096 time/batch=0.58s
7806/10943 (epoch 64.197) train_loss=185.54275513 time/batch=0.47s
7807/10943 (epoch 64.206) train_loss=393.44839478 time/batch=0.93s
7808/10943 (epoch 64.214) train_loss=374.80352783 time/batch=0.92s
7809/10943 (epoch 64.222) train_loss=591.25311279 time/batch=1.30s
7810/10943 (epoch 64.230) train_loss=467.59857178 time/batch=1.16s
7811/10943 (epoch 64.238) train_loss=162.90921021 time/batch=0.47s
7812/10943 (epoch 64.247) train_loss=301.92883301 time/batch=0.71s
7813/10943 (epoch 64.255) train_loss=455.71176147 time/batch=1.03s
7814/10943 (epoch 64.263) train_loss=248.08129883 time/batch=0.66s
7815/10943 (epoch 64.271) train_loss=112.01313782 time/batch=0.30s
7816/10943 (epoch 64.280) train_loss=546.23199463 time/batch=1.19s
7817/10943 (epoch 64.288) train_loss=354.18249512 time/batch=0.90s
7818/10943 (epoch 64.296) train_loss=484.45251465 time/batch=1.18s
7819/10943 (epoch 64.304) train_loss=311.93811035 time/batch=0.85s
7820/10943 (epoch 64.313) train_loss=267.55273438 time/batch=0.65s
7821/10943 (epoch 64.321) train_loss=520.82324219 time/batch=1.29s
7822/10943 (epoch 64.329) train_loss=411.27673340 time/batch=1.04s
7823/10943 (epoch 64.337) train_loss=203.08117676 time/batch=0.58s
7824/10943 (epoch 64.345) train_loss=264.13787842 time/batch=0.66s
7825/10943 (epoch 64.354) train_loss=393.40026855 time/batch=0.93s
7826/10943 (epoch 64.362) train_loss=515.36749268 time/batch=1.20s
7827/10943 (epoch 64.370) train_loss=150.67337036 time/batch=0.44s
7828/10943 (epoch 64.378) train_loss=307.03912354 time/batch=0.74s
7829/10943 (epoch 64.387) train_loss=399.20422363 time/batch=0.96s
7830/10943 (epoch 64.395) train_loss=461.56405640 time/batch=1.11s
7831/10943 (epoch 64.403) train_loss=144.09475708 time/batch=0.42s
7832/10943 (epoch 64.411) train_loss=332.07818604 time/batch=0.77s
7833/10943 (epoch 64.419) train_loss=158.80758667 time/batch=0.41s
7834/10943 (epoch 64.428) train_loss=285.90808105 time/batch=0.68s
7835/10943 (epoch 64.436) train_loss=178.91563416 time/batch=0.46s
7836/10943 (epoch 64.444) train_loss=331.12896729 time/batch=0.78s
7837/10943 (epoch 64.452) train_loss=384.21194458 time/batch=0.97s
7838/10943 (epoch 64.461) train_loss=313.99890137 time/batch=0.82s
7839/10943 (epoch 64.469) train_loss=233.56596375 time/batch=0.59s
7840/10943 (epoch 64.477) train_loss=211.50582886 time/batch=0.55s
7841/10943 (epoch 64.485) train_loss=121.13196564 time/batch=0.31s
7842/10943 (epoch 64.493) train_loss=233.68424988 time/batch=0.54s
7843/10943 (epoch 64.502) train_loss=140.59475708 time/batch=0.37s
7844/10943 (epoch 64.510) train_loss=157.76525879 time/batch=0.39s
7845/10943 (epoch 64.518) train_loss=240.08084106 time/batch=0.57s
7846/10943 (epoch 64.526) train_loss=467.15280151 time/batch=1.08s
7847/10943 (epoch 64.535) train_loss=200.63182068 time/batch=0.58s
7848/10943 (epoch 64.543) train_loss=334.24975586 time/batch=0.79s
7849/10943 (epoch 64.551) train_loss=190.45155334 time/batch=0.52s
7850/10943 (epoch 64.559) train_loss=278.92279053 time/batch=0.66s
7851/10943 (epoch 64.567) train_loss=309.41641235 time/batch=0.78s
7852/10943 (epoch 64.576) train_loss=314.03680420 time/batch=0.79s
7853/10943 (epoch 64.584) train_loss=336.36920166 time/batch=0.83s
7854/10943 (epoch 64.592) train_loss=237.25354004 time/batch=0.64s
7855/10943 (epoch 64.600) train_loss=117.48124695 time/batch=0.33s
7856/10943 (epoch 64.609) train_loss=264.90118408 time/batch=0.61s
7857/10943 (epoch 64.617) train_loss=340.62542725 time/batch=0.82s
7858/10943 (epoch 64.625) train_loss=378.15692139 time/batch=1.00s
7859/10943 (epoch 64.633) train_loss=195.83142090 time/batch=0.53s
7860/10943 (epoch 64.641) train_loss=313.70989990 time/batch=0.74s
7861/10943 (epoch 64.650) train_loss=342.36294556 time/batch=0.84s
7862/10943 (epoch 64.658) train_loss=292.81854248 time/batch=0.75s
7863/10943 (epoch 64.666) train_loss=485.54794312 time/batch=1.40s
7864/10943 (epoch 64.674) train_loss=207.24282837 time/batch=0.60s
7865/10943 (epoch 64.683) train_loss=248.59390259 time/batch=0.60s
7866/10943 (epoch 64.691) train_loss=351.13360596 time/batch=0.85s
7867/10943 (epoch 64.699) train_loss=164.37823486 time/batch=0.47s
7868/10943 (epoch 64.707) train_loss=270.84887695 time/batch=0.63s
7869/10943 (epoch 64.715) train_loss=248.03924561 time/batch=0.62s
7870/10943 (epoch 64.724) train_loss=227.77774048 time/batch=0.59s
7871/10943 (epoch 64.732) train_loss=225.67703247 time/batch=0.59s
7872/10943 (epoch 64.740) train_loss=259.34411621 time/batch=0.64s
7873/10943 (epoch 64.748) train_loss=155.93737793 time/batch=0.46s
7874/10943 (epoch 64.757) train_loss=173.14942932 time/batch=0.44s
7875/10943 (epoch 64.765) train_loss=140.33299255 time/batch=0.45s
7876/10943 (epoch 64.773) train_loss=235.12771606 time/batch=0.59s
7877/10943 (epoch 64.781) train_loss=291.16107178 time/batch=0.70s
7878/10943 (epoch 64.790) train_loss=198.35658264 time/batch=0.55s
7879/10943 (epoch 64.798) train_loss=196.56587219 time/batch=0.49s
7880/10943 (epoch 64.806) train_loss=203.54147339 time/batch=0.50s
7881/10943 (epoch 64.814) train_loss=299.42749023 time/batch=0.72s
7882/10943 (epoch 64.822) train_loss=122.92477417 time/batch=0.35s
7883/10943 (epoch 64.831) train_loss=349.93859863 time/batch=0.82s
7884/10943 (epoch 64.839) train_loss=229.33810425 time/batch=0.60s
7885/10943 (epoch 64.847) train_loss=168.08949280 time/batch=0.51s
7886/10943 (epoch 64.855) train_loss=229.24362183 time/batch=0.58s
7887/10943 (epoch 64.864) train_loss=210.95346069 time/batch=0.53s
7888/10943 (epoch 64.872) train_loss=269.29595947 time/batch=0.65s
7889/10943 (epoch 64.880) train_loss=170.83775330 time/batch=0.56s
7890/10943 (epoch 64.888) train_loss=307.60327148 time/batch=0.71s
7891/10943 (epoch 64.896) train_loss=253.23464966 time/batch=0.67s
7892/10943 (epoch 64.905) train_loss=267.27478027 time/batch=0.66s
7893/10943 (epoch 64.913) train_loss=372.20715332 time/batch=0.99s
7894/10943 (epoch 64.921) train_loss=232.98043823 time/batch=0.63s
7895/10943 (epoch 64.929) train_loss=311.70703125 time/batch=0.85s
7896/10943 (epoch 64.938) train_loss=244.84642029 time/batch=0.68s
7897/10943 (epoch 64.946) train_loss=296.77941895 time/batch=0.71s
7898/10943 (epoch 64.954) train_loss=299.83898926 time/batch=0.85s
7899/10943 (epoch 64.962) train_loss=257.37698364 time/batch=0.69s
7900/10943 (epoch 64.970) train_loss=289.54083252 time/batch=0.69s
7901/10943 (epoch 64.979) train_loss=277.34399414 time/batch=0.72s
7902/10943 (epoch 64.987) train_loss=160.24627686 time/batch=0.43s
7903/10943 (epoch 64.995) train_loss=267.89968872 time/batch=0.63s
7904/10943 (epoch 65.003) train_loss=419.22003174 time/batch=1.01s
7905/10943 (epoch 65.012) train_loss=510.99548340 time/batch=1.25s
7906/10943 (epoch 65.020) train_loss=959.37609863 time/batch=3.11s
7907/10943 (epoch 65.028) train_loss=608.76562500 time/batch=1.59s
7908/10943 (epoch 65.036) train_loss=317.38110352 time/batch=0.87s
7909/10943 (epoch 65.044) train_loss=442.08007812 time/batch=1.01s
7910/10943 (epoch 65.053) train_loss=304.31063843 time/batch=0.80s
7911/10943 (epoch 65.061) train_loss=325.72552490 time/batch=0.82s
7912/10943 (epoch 65.069) train_loss=196.81246948 time/batch=0.54s
7913/10943 (epoch 65.077) train_loss=712.42529297 time/batch=1.63s
7914/10943 (epoch 65.086) train_loss=281.50869751 time/batch=0.82s
7915/10943 (epoch 65.094) train_loss=463.58959961 time/batch=1.09s
7916/10943 (epoch 65.102) train_loss=97.13444519 time/batch=0.33s
7917/10943 (epoch 65.110) train_loss=348.66522217 time/batch=0.78s
7918/10943 (epoch 65.118) train_loss=653.27441406 time/batch=1.54s
7919/10943 (epoch 65.127) train_loss=238.57218933 time/batch=0.68s
7920/10943 (epoch 65.135) train_loss=313.84976196 time/batch=0.75s
7921/10943 (epoch 65.143) train_loss=558.14794922 time/batch=1.36s
7922/10943 (epoch 65.151) train_loss=148.08981323 time/batch=0.45s
7923/10943 (epoch 65.160) train_loss=182.85836792 time/batch=0.44s
7924/10943 (epoch 65.168) train_loss=234.58123779 time/batch=0.60s
7925/10943 (epoch 65.176) train_loss=455.32244873 time/batch=1.04s
7926/10943 (epoch 65.184) train_loss=182.62565613 time/batch=0.50s
7927/10943 (epoch 65.192) train_loss=275.76977539 time/batch=0.66s
7928/10943 (epoch 65.201) train_loss=124.04611206 time/batch=0.34s
7929/10943 (epoch 65.209) train_loss=391.96246338 time/batch=0.91s
7930/10943 (epoch 65.217) train_loss=344.40325928 time/batch=0.88s
7931/10943 (epoch 65.225) train_loss=483.90374756 time/batch=1.16s
7932/10943 (epoch 65.234) train_loss=322.15963745 time/batch=0.82s
7933/10943 (epoch 65.242) train_loss=232.71429443 time/batch=0.60s
7934/10943 (epoch 65.250) train_loss=186.64230347 time/batch=0.48s
7935/10943 (epoch 65.258) train_loss=265.04708862 time/batch=0.62s
7936/10943 (epoch 65.267) train_loss=202.17321777 time/batch=0.51s
7937/10943 (epoch 65.275) train_loss=297.65908813 time/batch=0.70s
7938/10943 (epoch 65.283) train_loss=358.16250610 time/batch=0.89s
7939/10943 (epoch 65.291) train_loss=124.56610107 time/batch=0.35s
7940/10943 (epoch 65.299) train_loss=334.10998535 time/batch=0.79s
7941/10943 (epoch 65.308) train_loss=510.01068115 time/batch=1.18s
7942/10943 (epoch 65.316) train_loss=429.17514038 time/batch=1.02s
7943/10943 (epoch 65.324) train_loss=124.42524719 time/batch=0.38s
7944/10943 (epoch 65.332) train_loss=320.51089478 time/batch=0.75s
7945/10943 (epoch 65.341) train_loss=360.89453125 time/batch=0.90s
7946/10943 (epoch 65.349) train_loss=140.07885742 time/batch=0.40s
7947/10943 (epoch 65.357) train_loss=306.65264893 time/batch=0.77s
7948/10943 (epoch 65.365) train_loss=178.27265930 time/batch=0.48s
7949/10943 (epoch 65.373) train_loss=365.39190674 time/batch=0.88s
7950/10943 (epoch 65.382) train_loss=348.29574585 time/batch=0.89s
7951/10943 (epoch 65.390) train_loss=128.60224915 time/batch=0.40s
7952/10943 (epoch 65.398) train_loss=466.06872559 time/batch=1.03s
7953/10943 (epoch 65.406) train_loss=281.98858643 time/batch=0.74s
7954/10943 (epoch 65.415) train_loss=150.65625000 time/batch=0.41s
7955/10943 (epoch 65.423) train_loss=299.49664307 time/batch=0.67s
7956/10943 (epoch 65.431) train_loss=266.47067261 time/batch=0.67s
7957/10943 (epoch 65.439) train_loss=110.78279114 time/batch=0.31s
7958/10943 (epoch 65.447) train_loss=452.50088501 time/batch=1.03s
7959/10943 (epoch 65.456) train_loss=432.14575195 time/batch=1.15s
7960/10943 (epoch 65.464) train_loss=142.21594238 time/batch=0.44s
7961/10943 (epoch 65.472) train_loss=372.81951904 time/batch=0.88s
7962/10943 (epoch 65.480) train_loss=312.15301514 time/batch=0.78s
7963/10943 (epoch 65.489) train_loss=232.38040161 time/batch=0.61s
7964/10943 (epoch 65.497) train_loss=163.00498962 time/batch=0.44s
7965/10943 (epoch 65.505) train_loss=562.92053223 time/batch=1.37s
7966/10943 (epoch 65.513) train_loss=217.22625732 time/batch=0.63s
7967/10943 (epoch 65.521) train_loss=474.97869873 time/batch=1.19s
7968/10943 (epoch 65.530) train_loss=232.32283020 time/batch=0.66s
7969/10943 (epoch 65.538) train_loss=263.63110352 time/batch=0.66s
7970/10943 (epoch 65.546) train_loss=136.78619385 time/batch=0.38s
7971/10943 (epoch 65.554) train_loss=215.83897400 time/batch=0.53s
7972/10943 (epoch 65.563) train_loss=250.35717773 time/batch=0.62s
7973/10943 (epoch 65.571) train_loss=158.52763367 time/batch=0.41s
7974/10943 (epoch 65.579) train_loss=192.08453369 time/batch=0.47s
7975/10943 (epoch 65.587) train_loss=285.25485229 time/batch=0.72s
7976/10943 (epoch 65.595) train_loss=275.36898804 time/batch=0.70s
7977/10943 (epoch 65.604) train_loss=226.21643066 time/batch=0.60s
7978/10943 (epoch 65.612) train_loss=214.21817017 time/batch=0.56s
7979/10943 (epoch 65.620) train_loss=288.02005005 time/batch=0.68s
7980/10943 (epoch 65.628) train_loss=351.96911621 time/batch=0.86s
7981/10943 (epoch 65.637) train_loss=195.88928223 time/batch=0.56s
7982/10943 (epoch 65.645) train_loss=285.47723389 time/batch=0.67s
7983/10943 (epoch 65.653) train_loss=203.88104248 time/batch=0.53s
7984/10943 (epoch 65.661) train_loss=201.32456970 time/batch=0.49s
7985/10943 (epoch 65.669) train_loss=294.42742920 time/batch=0.72s
7986/10943 (epoch 65.678) train_loss=237.09228516 time/batch=0.61s
7987/10943 (epoch 65.686) train_loss=387.51885986 time/batch=0.91s
7988/10943 (epoch 65.694) train_loss=183.02616882 time/batch=0.51s
7989/10943 (epoch 65.702) train_loss=242.66458130 time/batch=0.58s
7990/10943 (epoch 65.711) train_loss=255.10678101 time/batch=0.62s
7991/10943 (epoch 65.719) train_loss=191.01382446 time/batch=0.49s
7992/10943 (epoch 65.727) train_loss=393.14007568 time/batch=0.95s
7993/10943 (epoch 65.735) train_loss=302.85327148 time/batch=0.82s
7994/10943 (epoch 65.744) train_loss=298.52020264 time/batch=0.79s
7995/10943 (epoch 65.752) train_loss=161.21145630 time/batch=0.47s
7996/10943 (epoch 65.760) train_loss=252.43127441 time/batch=0.62s
7997/10943 (epoch 65.768) train_loss=185.31796265 time/batch=0.50s
7998/10943 (epoch 65.776) train_loss=134.81747437 time/batch=0.36s
7999/10943 (epoch 65.785) train_loss=267.76831055 time/batch=0.64s
Validating
    loss:	276.413439

8000/10943 (epoch 65.793) train_loss=239.91473389 time/batch=2.44s
8001/10943 (epoch 65.801) train_loss=395.76831055 time/batch=0.97s
8002/10943 (epoch 65.809) train_loss=156.51031494 time/batch=0.44s
8003/10943 (epoch 65.818) train_loss=229.92709351 time/batch=0.56s
8004/10943 (epoch 65.826) train_loss=211.06698608 time/batch=0.54s
8005/10943 (epoch 65.834) train_loss=177.65802002 time/batch=0.53s
8006/10943 (epoch 65.842) train_loss=265.73492432 time/batch=0.66s
8007/10943 (epoch 65.850) train_loss=196.47558594 time/batch=0.54s
8008/10943 (epoch 65.859) train_loss=270.47042847 time/batch=0.63s
8009/10943 (epoch 65.867) train_loss=276.92419434 time/batch=0.66s
8010/10943 (epoch 65.875) train_loss=296.10107422 time/batch=0.73s
8011/10943 (epoch 65.883) train_loss=196.33822632 time/batch=0.59s
8012/10943 (epoch 65.892) train_loss=238.68301392 time/batch=0.63s
8013/10943 (epoch 65.900) train_loss=390.71240234 time/batch=0.93s
8014/10943 (epoch 65.908) train_loss=310.80950928 time/batch=0.82s
8015/10943 (epoch 65.916) train_loss=310.48379517 time/batch=0.76s
8016/10943 (epoch 65.924) train_loss=338.26208496 time/batch=0.83s
8017/10943 (epoch 65.933) train_loss=272.38195801 time/batch=0.76s
8018/10943 (epoch 65.941) train_loss=327.85565186 time/batch=0.81s
8019/10943 (epoch 65.949) train_loss=220.72560120 time/batch=0.62s
8020/10943 (epoch 65.957) train_loss=372.44091797 time/batch=0.91s
8021/10943 (epoch 65.966) train_loss=332.85729980 time/batch=0.84s
8022/10943 (epoch 65.974) train_loss=289.23138428 time/batch=0.82s
setting learning rate to 0.0029100
  saved to metadata/gru_dropout-9_nov_folkwiki-20181207-173447_epoch21.pkl
8023/10943 (epoch 65.982) train_loss=299.75399780 time/batch=0.85s
8024/10943 (epoch 65.990) train_loss=304.11370850 time/batch=0.80s
8025/10943 (epoch 65.998) train_loss=737.27874756 time/batch=1.74s
8026/10943 (epoch 66.007) train_loss=173.80702209 time/batch=0.58s
8027/10943 (epoch 66.015) train_loss=198.35472107 time/batch=0.50s
8028/10943 (epoch 66.023) train_loss=219.21835327 time/batch=0.53s
8029/10943 (epoch 66.031) train_loss=426.21380615 time/batch=0.96s
8030/10943 (epoch 66.040) train_loss=230.51062012 time/batch=0.63s
8031/10943 (epoch 66.048) train_loss=466.10284424 time/batch=1.11s
8032/10943 (epoch 66.056) train_loss=187.73451233 time/batch=0.55s
8033/10943 (epoch 66.064) train_loss=912.08190918 time/batch=3.02s
8034/10943 (epoch 66.072) train_loss=446.45391846 time/batch=1.27s
8035/10943 (epoch 66.081) train_loss=434.37841797 time/batch=1.04s
8036/10943 (epoch 66.089) train_loss=251.90364075 time/batch=0.67s
8037/10943 (epoch 66.097) train_loss=560.76770020 time/batch=1.34s
8038/10943 (epoch 66.105) train_loss=438.31951904 time/batch=1.14s
8039/10943 (epoch 66.114) train_loss=588.46246338 time/batch=1.50s
8040/10943 (epoch 66.122) train_loss=192.70094299 time/batch=0.60s
8041/10943 (epoch 66.130) train_loss=159.06201172 time/batch=0.40s
8042/10943 (epoch 66.138) train_loss=546.77520752 time/batch=1.22s
8043/10943 (epoch 66.146) train_loss=311.30966187 time/batch=0.82s
8044/10943 (epoch 66.155) train_loss=495.19961548 time/batch=1.28s
8045/10943 (epoch 66.163) train_loss=337.94006348 time/batch=0.92s
8046/10943 (epoch 66.171) train_loss=173.29028320 time/batch=0.47s
8047/10943 (epoch 66.179) train_loss=369.17425537 time/batch=0.88s
8048/10943 (epoch 66.188) train_loss=235.33459473 time/batch=0.65s
8049/10943 (epoch 66.196) train_loss=301.58441162 time/batch=0.78s
8050/10943 (epoch 66.204) train_loss=153.27194214 time/batch=0.44s
8051/10943 (epoch 66.212) train_loss=613.90173340 time/batch=1.48s
8052/10943 (epoch 66.221) train_loss=217.23159790 time/batch=0.67s
8053/10943 (epoch 66.229) train_loss=310.11584473 time/batch=0.77s
8054/10943 (epoch 66.237) train_loss=479.78500366 time/batch=1.17s
8055/10943 (epoch 66.245) train_loss=445.94610596 time/batch=1.14s
8056/10943 (epoch 66.253) train_loss=390.53295898 time/batch=1.01s
8057/10943 (epoch 66.262) train_loss=388.01303101 time/batch=0.95s
8058/10943 (epoch 66.270) train_loss=258.69595337 time/batch=0.66s
8059/10943 (epoch 66.278) train_loss=292.89190674 time/batch=0.73s
8060/10943 (epoch 66.286) train_loss=148.13397217 time/batch=0.40s
8061/10943 (epoch 66.295) train_loss=140.12789917 time/batch=0.35s
8062/10943 (epoch 66.303) train_loss=512.30993652 time/batch=1.15s
8063/10943 (epoch 66.311) train_loss=228.47839355 time/batch=0.64s
8064/10943 (epoch 66.319) train_loss=141.81028748 time/batch=0.38s
8065/10943 (epoch 66.327) train_loss=265.54214478 time/batch=0.63s
8066/10943 (epoch 66.336) train_loss=116.02043152 time/batch=0.33s
8067/10943 (epoch 66.344) train_loss=110.67583466 time/batch=0.29s
8068/10943 (epoch 66.352) train_loss=230.09466553 time/batch=0.56s
8069/10943 (epoch 66.360) train_loss=287.95242310 time/batch=0.70s
8070/10943 (epoch 66.369) train_loss=267.77679443 time/batch=0.67s
8071/10943 (epoch 66.377) train_loss=283.77764893 time/batch=0.74s
8072/10943 (epoch 66.385) train_loss=128.60334778 time/batch=0.36s
8073/10943 (epoch 66.393) train_loss=98.69279480 time/batch=0.27s
8074/10943 (epoch 66.401) train_loss=203.91230774 time/batch=0.51s
8075/10943 (epoch 66.410) train_loss=450.58224487 time/batch=1.04s
8076/10943 (epoch 66.418) train_loss=112.17616272 time/batch=0.37s
8077/10943 (epoch 66.426) train_loss=277.50137329 time/batch=0.63s
8078/10943 (epoch 66.434) train_loss=439.25820923 time/batch=1.06s
8079/10943 (epoch 66.443) train_loss=273.78686523 time/batch=0.74s
8080/10943 (epoch 66.451) train_loss=297.24362183 time/batch=0.75s
8081/10943 (epoch 66.459) train_loss=192.44244385 time/batch=0.51s
8082/10943 (epoch 66.467) train_loss=403.61041260 time/batch=0.97s
8083/10943 (epoch 66.475) train_loss=291.42074585 time/batch=0.75s
8084/10943 (epoch 66.484) train_loss=199.30722046 time/batch=0.55s
8085/10943 (epoch 66.492) train_loss=133.29837036 time/batch=0.34s
8086/10943 (epoch 66.500) train_loss=243.20150757 time/batch=0.59s
8087/10943 (epoch 66.508) train_loss=266.42864990 time/batch=0.68s
8088/10943 (epoch 66.517) train_loss=338.92993164 time/batch=0.83s
8089/10943 (epoch 66.525) train_loss=203.91609192 time/batch=0.57s
8090/10943 (epoch 66.533) train_loss=158.28585815 time/batch=0.42s
8091/10943 (epoch 66.541) train_loss=206.23452759 time/batch=0.48s
8092/10943 (epoch 66.549) train_loss=310.39703369 time/batch=0.75s
8093/10943 (epoch 66.558) train_loss=363.17218018 time/batch=0.91s
8094/10943 (epoch 66.566) train_loss=151.08630371 time/batch=0.46s
8095/10943 (epoch 66.574) train_loss=121.47277069 time/batch=0.31s
8096/10943 (epoch 66.582) train_loss=224.31881714 time/batch=0.54s
8097/10943 (epoch 66.591) train_loss=356.16305542 time/batch=0.86s
8098/10943 (epoch 66.599) train_loss=153.44570923 time/batch=0.46s
8099/10943 (epoch 66.607) train_loss=394.44641113 time/batch=0.91s
8100/10943 (epoch 66.615) train_loss=192.79681396 time/batch=0.55s
8101/10943 (epoch 66.623) train_loss=270.71112061 time/batch=0.66s
8102/10943 (epoch 66.632) train_loss=190.12661743 time/batch=0.47s
8103/10943 (epoch 66.640) train_loss=215.48641968 time/batch=0.54s
8104/10943 (epoch 66.648) train_loss=333.97515869 time/batch=0.80s
8105/10943 (epoch 66.656) train_loss=233.79101562 time/batch=0.63s
8106/10943 (epoch 66.665) train_loss=174.25299072 time/batch=0.45s
8107/10943 (epoch 66.673) train_loss=197.32292175 time/batch=0.49s
8108/10943 (epoch 66.681) train_loss=316.63949585 time/batch=0.78s
8109/10943 (epoch 66.689) train_loss=341.90185547 time/batch=0.87s
8110/10943 (epoch 66.698) train_loss=423.95202637 time/batch=1.12s
8111/10943 (epoch 66.706) train_loss=321.71911621 time/batch=0.81s
8112/10943 (epoch 66.714) train_loss=137.27508545 time/batch=0.38s
8113/10943 (epoch 66.722) train_loss=294.98529053 time/batch=0.68s
8114/10943 (epoch 66.730) train_loss=171.16940308 time/batch=0.49s
8115/10943 (epoch 66.739) train_loss=208.45657349 time/batch=0.52s
8116/10943 (epoch 66.747) train_loss=313.33877563 time/batch=0.77s
8117/10943 (epoch 66.755) train_loss=177.93730164 time/batch=0.50s
8118/10943 (epoch 66.763) train_loss=156.78591919 time/batch=0.56s
8119/10943 (epoch 66.772) train_loss=284.54281616 time/batch=0.69s
8120/10943 (epoch 66.780) train_loss=254.34962463 time/batch=0.65s
8121/10943 (epoch 66.788) train_loss=236.56652832 time/batch=0.58s
8122/10943 (epoch 66.796) train_loss=347.83288574 time/batch=0.83s
8123/10943 (epoch 66.804) train_loss=264.33447266 time/batch=0.67s
8124/10943 (epoch 66.813) train_loss=372.27020264 time/batch=0.93s
8125/10943 (epoch 66.821) train_loss=239.75679016 time/batch=0.65s
8126/10943 (epoch 66.829) train_loss=293.44766235 time/batch=0.69s
8127/10943 (epoch 66.837) train_loss=360.16561890 time/batch=0.89s
8128/10943 (epoch 66.846) train_loss=336.14007568 time/batch=0.85s
8129/10943 (epoch 66.854) train_loss=238.47770691 time/batch=0.63s
8130/10943 (epoch 66.862) train_loss=215.06546021 time/batch=0.58s
8131/10943 (epoch 66.870) train_loss=324.29620361 time/batch=0.80s
8132/10943 (epoch 66.878) train_loss=244.84059143 time/batch=0.62s
8133/10943 (epoch 66.887) train_loss=235.28033447 time/batch=0.62s
8134/10943 (epoch 66.895) train_loss=254.15487671 time/batch=0.63s
8135/10943 (epoch 66.903) train_loss=328.81253052 time/batch=0.83s
8136/10943 (epoch 66.911) train_loss=349.10171509 time/batch=0.88s
8137/10943 (epoch 66.920) train_loss=268.95794678 time/batch=0.72s
8138/10943 (epoch 66.928) train_loss=235.60472107 time/batch=0.67s
8139/10943 (epoch 66.936) train_loss=363.76879883 time/batch=0.87s
8140/10943 (epoch 66.944) train_loss=299.13650513 time/batch=0.79s
8141/10943 (epoch 66.952) train_loss=273.67504883 time/batch=0.70s
8142/10943 (epoch 66.961) train_loss=302.50494385 time/batch=0.77s
8143/10943 (epoch 66.969) train_loss=271.73339844 time/batch=0.72s
setting learning rate to 0.0028227
8144/10943 (epoch 66.977) train_loss=379.54107666 time/batch=0.95s
8145/10943 (epoch 66.985) train_loss=697.21203613 time/batch=1.63s
8146/10943 (epoch 66.994) train_loss=225.41223145 time/batch=0.66s
8147/10943 (epoch 67.002) train_loss=373.46472168 time/batch=0.89s
8148/10943 (epoch 67.010) train_loss=560.85180664 time/batch=1.36s
8149/10943 (epoch 67.018) train_loss=312.03265381 time/batch=0.88s
8150/10943 (epoch 67.026) train_loss=391.22497559 time/batch=0.98s
8151/10943 (epoch 67.035) train_loss=455.43273926 time/batch=1.13s
8152/10943 (epoch 67.043) train_loss=572.46002197 time/batch=1.46s
8153/10943 (epoch 67.051) train_loss=500.96386719 time/batch=1.25s
8154/10943 (epoch 67.059) train_loss=638.74548340 time/batch=1.70s
8155/10943 (epoch 67.068) train_loss=458.98632812 time/batch=1.19s
8156/10943 (epoch 67.076) train_loss=399.69763184 time/batch=0.99s
