vocabulary size: 226
n tunes: 26239
n train tunes: 24959.0
n validation tunes: 1280.0
42/19499 (epoch 0.108) train_loss=231.53477478 time/batch=0.47s
43/19499 (epoch 0.110) train_loss=924.06359863 time/batch=1.41s
44/19499 (epoch 0.113) train_loss=328.02218628 time/batch=0.79s
45/19499 (epoch 0.115) train_loss=692.82440186 time/batch=1.13s
46/19499 (epoch 0.118) train_loss=442.08392334 time/batch=0.89s
47/19499 (epoch 0.121) train_loss=778.81732178 time/batch=1.27s
48/19499 (epoch 0.123) train_loss=441.33917236 time/batch=0.89s
49/19499 (epoch 0.126) train_loss=246.40054321 time/batch=0.50s
50/19499 (epoch 0.128) train_loss=728.73046875 time/batch=1.15s
51/19499 (epoch 0.131) train_loss=1201.83544922 time/batch=1.99s
52/19499 (epoch 0.133) train_loss=654.30059814 time/batch=1.28s
53/19499 (epoch 0.136) train_loss=744.16601562 time/batch=0.83s
54/19499 (epoch 0.138) train_loss=804.78186035 time/batch=1.16s
55/19499 (epoch 0.141) train_loss=406.25198364 time/batch=0.83s
56/19499 (epoch 0.144) train_loss=230.30024719 time/batch=0.46s
57/19499 (epoch 0.146) train_loss=528.03186035 time/batch=0.86s
58/19499 (epoch 0.149) train_loss=930.31213379 time/batch=1.52s
59/19499 (epoch 0.151) train_loss=882.53155518 time/batch=1.51s
60/19499 (epoch 0.154) train_loss=523.28002930 time/batch=1.00s
61/19499 (epoch 0.156) train_loss=476.41949463 time/batch=0.87s
62/19499 (epoch 0.159) train_loss=1363.20019531 time/batch=2.32s
63/19499 (epoch 0.162) train_loss=937.30902100 time/batch=1.78s
64/19499 (epoch 0.164) train_loss=645.44482422 time/batch=1.20s
65/19499 (epoch 0.167) train_loss=823.79479980 time/batch=1.40s
66/19499 (epoch 0.169) train_loss=267.19296265 time/batch=0.65s
67/19499 (epoch 0.172) train_loss=564.46398926 time/batch=0.91s
68/19499 (epoch 0.174) train_loss=637.55297852 time/batch=1.10s
69/19499 (epoch 0.177) train_loss=235.71748352 time/batch=0.55s
70/19499 (epoch 0.179) train_loss=241.08001709 time/batch=0.44s
71/19499 (epoch 0.182) train_loss=1174.55053711 time/batch=1.89s
72/19499 (epoch 0.185) train_loss=227.42306519 time/batch=0.70s
73/19499 (epoch 0.187) train_loss=617.80682373 time/batch=0.97s
74/19499 (epoch 0.190) train_loss=302.37457275 time/batch=0.63s
75/19499 (epoch 0.192) train_loss=428.95849609 time/batch=0.76s
76/19499 (epoch 0.195) train_loss=738.30297852 time/batch=1.22s
77/19499 (epoch 0.197) train_loss=840.17944336 time/batch=1.42s
78/19499 (epoch 0.200) train_loss=1075.35375977 time/batch=1.79s
79/19499 (epoch 0.203) train_loss=820.25769043 time/batch=1.50s
80/19499 (epoch 0.205) train_loss=1069.71484375 time/batch=1.83s
81/19499 (epoch 0.208) train_loss=552.91918945 time/batch=1.13s
82/19499 (epoch 0.210) train_loss=393.88018799 time/batch=0.78s
83/19499 (epoch 0.213) train_loss=411.93865967 time/batch=0.72s
84/19499 (epoch 0.215) train_loss=590.97509766 time/batch=0.98s
85/19499 (epoch 0.218) train_loss=436.12686157 time/batch=0.84s
86/19499 (epoch 0.221) train_loss=662.72546387 time/batch=1.12s
87/19499 (epoch 0.223) train_loss=329.50091553 time/batch=0.71s
88/19499 (epoch 0.226) train_loss=846.16918945 time/batch=1.35s
89/19499 (epoch 0.228) train_loss=360.54272461 time/batch=0.81s
90/19499 (epoch 0.231) train_loss=328.72308350 time/batch=0.62s
91/19499 (epoch 0.233) train_loss=549.02319336 time/batch=0.92s
92/19499 (epoch 0.236) train_loss=393.16375732 time/batch=0.78s
93/19499 (epoch 0.238) train_loss=1020.42083740 time/batch=1.65s
94/19499 (epoch 0.241) train_loss=715.54473877 time/batch=1.36s
95/19499 (epoch 0.244) train_loss=412.29421997 time/batch=0.84s
96/19499 (epoch 0.246) train_loss=222.35792542 time/batch=0.47s
97/19499 (epoch 0.249) train_loss=644.85351562 time/batch=0.99s
98/19499 (epoch 0.251) train_loss=347.97515869 time/batch=0.71s
99/19499 (epoch 0.254) train_loss=613.58398438 time/batch=1.02s
100/19499 (epoch 0.256) train_loss=861.73553467 time/batch=1.44s
101/19499 (epoch 0.259) train_loss=456.69985962 time/batch=0.93s
102/19499 (epoch 0.262) train_loss=172.10893250 time/batch=0.38s
103/19499 (epoch 0.264) train_loss=848.56994629 time/batch=1.32s
104/19499 (epoch 0.267) train_loss=878.51208496 time/batch=1.53s
105/19499 (epoch 0.269) train_loss=955.61700439 time/batch=1.69s
106/19499 (epoch 0.272) train_loss=643.82946777 time/batch=1.24s
107/19499 (epoch 0.274) train_loss=431.21725464 time/batch=0.86s
108/19499 (epoch 0.277) train_loss=284.40945435 time/batch=0.56s
109/19499 (epoch 0.279) train_loss=326.33728027 time/batch=0.59s
110/19499 (epoch 0.282) train_loss=278.08776855 time/batch=0.54s
111/19499 (epoch 0.285) train_loss=399.94754028 time/batch=0.70s
112/19499 (epoch 0.287) train_loss=168.09533691 time/batch=0.37s
113/19499 (epoch 0.290) train_loss=595.59045410 time/batch=0.95s
114/19499 (epoch 0.292) train_loss=223.33116150 time/batch=0.53s
115/19499 (epoch 0.295) train_loss=283.68878174 time/batch=0.50s
116/19499 (epoch 0.297) train_loss=200.16293335 time/batch=0.38s
117/19499 (epoch 0.300) train_loss=305.69961548 time/batch=0.54s
118/19499 (epoch 0.303) train_loss=344.04589844 time/batch=0.62s
119/19499 (epoch 0.305) train_loss=226.67848206 time/batch=0.46s
120/19499 (epoch 0.308) train_loss=467.67535400 time/batch=0.76s
121/19499 (epoch 0.310) train_loss=374.51239014 time/batch=0.73s
122/19499 (epoch 0.313) train_loss=785.09173584 time/batch=1.23s
123/19499 (epoch 0.315) train_loss=230.54681396 time/batch=0.57s
124/19499 (epoch 0.318) train_loss=259.72161865 time/batch=0.47s
125/19499 (epoch 0.321) train_loss=629.67089844 time/batch=1.02s
126/19499 (epoch 0.323) train_loss=249.25932312 time/batch=0.57s
127/19499 (epoch 0.326) train_loss=375.55224609 time/batch=0.67s
128/19499 (epoch 0.328) train_loss=551.71362305 time/batch=0.93s
129/19499 (epoch 0.331) train_loss=662.83911133 time/batch=1.15s
130/19499 (epoch 0.333) train_loss=436.20202637 time/batch=0.87s
131/19499 (epoch 0.336) train_loss=677.69750977 time/batch=1.14s
132/19499 (epoch 0.338) train_loss=336.37911987 time/batch=0.73s
133/19499 (epoch 0.341) train_loss=210.71948242 time/batch=0.42s
134/19499 (epoch 0.344) train_loss=449.99734497 time/batch=0.77s
135/19499 (epoch 0.346) train_loss=321.46899414 time/batch=0.64s
136/19499 (epoch 0.349) train_loss=814.23376465 time/batch=1.38s
137/19499 (epoch 0.351) train_loss=174.10214233 time/batch=0.53s
138/19499 (epoch 0.354) train_loss=301.41448975 time/batch=0.52s
139/19499 (epoch 0.356) train_loss=580.47943115 time/batch=0.97s
140/19499 (epoch 0.359) train_loss=177.80088806 time/batch=0.45s
141/19499 (epoch 0.362) train_loss=687.46801758 time/batch=1.11s
142/19499 (epoch 0.364) train_loss=489.60437012 time/batch=0.95s
143/19499 (epoch 0.367) train_loss=357.29156494 time/batch=0.70s
144/19499 (epoch 0.369) train_loss=245.22557068 time/batch=0.49s
145/19499 (epoch 0.372) train_loss=549.17358398 time/batch=0.91s
146/19499 (epoch 0.374) train_loss=343.74346924 time/batch=0.72s
147/19499 (epoch 0.377) train_loss=484.68103027 time/batch=0.83s
148/19499 (epoch 0.380) train_loss=650.85754395 time/batch=1.10s
149/19499 (epoch 0.382) train_loss=480.70663452 time/batch=0.92s
150/19499 (epoch 0.385) train_loss=313.40261841 time/batch=0.64s
151/19499 (epoch 0.387) train_loss=437.12365723 time/batch=0.75s
152/19499 (epoch 0.390) train_loss=393.58093262 time/batch=0.75s
153/19499 (epoch 0.392) train_loss=436.08453369 time/batch=0.79s
154/19499 (epoch 0.395) train_loss=442.99212646 time/batch=0.86s
155/19499 (epoch 0.397) train_loss=663.68377686 time/batch=1.17s
156/19499 (epoch 0.400) train_loss=527.85046387 time/batch=0.99s
157/19499 (epoch 0.403) train_loss=499.55578613 time/batch=0.92s
158/19499 (epoch 0.405) train_loss=500.12088013 time/batch=0.92s
159/19499 (epoch 0.408) train_loss=674.58746338 time/batch=1.15s
160/19499 (epoch 0.410) train_loss=396.82571411 time/batch=0.81s
161/19499 (epoch 0.413) train_loss=463.33441162 time/batch=0.85s
162/19499 (epoch 0.415) train_loss=479.14199829 time/batch=0.87s
163/19499 (epoch 0.418) train_loss=281.51867676 time/batch=0.59s
164/19499 (epoch 0.421) train_loss=306.79010010 time/batch=0.56s
165/19499 (epoch 0.423) train_loss=389.66226196 time/batch=0.69s
166/19499 (epoch 0.426) train_loss=250.44097900 time/batch=0.51s
167/19499 (epoch 0.428) train_loss=327.76922607 time/batch=0.60s
168/19499 (epoch 0.431) train_loss=396.29629517 time/batch=0.72s
169/19499 (epoch 0.433) train_loss=522.63732910 time/batch=0.90s
170/19499 (epoch 0.436) train_loss=279.93017578 time/batch=0.59s
171/19499 (epoch 0.438) train_loss=720.96850586 time/batch=1.19s
172/19499 (epoch 0.441) train_loss=668.67700195 time/batch=1.23s
173/19499 (epoch 0.444) train_loss=526.08874512 time/batch=1.00s
174/19499 (epoch 0.446) train_loss=688.25671387 time/batch=1.20s
175/19499 (epoch 0.449) train_loss=264.33810425 time/batch=0.62s
176/19499 (epoch 0.451) train_loss=526.48205566 time/batch=0.87s
177/19499 (epoch 0.454) train_loss=423.03280640 time/batch=0.81s
178/19499 (epoch 0.456) train_loss=662.93176270 time/batch=1.12s
179/19499 (epoch 0.459) train_loss=338.04309082 time/batch=0.74s
180/19499 (epoch 0.462) train_loss=597.12536621 time/batch=1.00s
181/19499 (epoch 0.464) train_loss=215.87030029 time/batch=0.54s
182/19499 (epoch 0.467) train_loss=896.99450684 time/batch=1.46s
183/19499 (epoch 0.469) train_loss=399.18463135 time/batch=0.88s
184/19499 (epoch 0.472) train_loss=644.72619629 time/batch=1.07s
185/19499 (epoch 0.474) train_loss=398.64776611 time/batch=0.80s
186/19499 (epoch 0.477) train_loss=187.93936157 time/batch=0.41s
187/19499 (epoch 0.480) train_loss=431.83514404 time/batch=0.73s
188/19499 (epoch 0.482) train_loss=359.20443726 time/batch=0.71s
189/19499 (epoch 0.485) train_loss=429.16168213 time/batch=0.74s
190/19499 (epoch 0.487) train_loss=164.66616821 time/batch=0.37s
191/19499 (epoch 0.490) train_loss=563.44042969 time/batch=0.91s
192/19499 (epoch 0.492) train_loss=494.79632568 time/batch=0.92s
193/19499 (epoch 0.495) train_loss=299.05560303 time/batch=0.62s
194/19499 (epoch 0.497) train_loss=729.69091797 time/batch=1.20s
195/19499 (epoch 0.500) train_loss=194.98751831 time/batch=0.53s
196/19499 (epoch 0.503) train_loss=641.18200684 time/batch=1.03s
197/19499 (epoch 0.505) train_loss=267.33224487 time/batch=0.61s
198/19499 (epoch 0.508) train_loss=794.37890625 time/batch=1.37s
199/19499 (epoch 0.510) train_loss=578.87445068 time/batch=1.10s
200/19499 (epoch 0.513) train_loss=382.19799805 time/batch=0.76s
201/19499 (epoch 0.515) train_loss=674.87658691 time/batch=1.16s
202/19499 (epoch 0.518) train_loss=645.35839844 time/batch=1.17s
203/19499 (epoch 0.521) train_loss=651.12744141 time/batch=1.14s
204/19499 (epoch 0.523) train_loss=293.06063843 time/batch=0.65s
205/19499 (epoch 0.526) train_loss=618.61297607 time/batch=0.98s
206/19499 (epoch 0.528) train_loss=279.62652588 time/batch=0.62s
207/19499 (epoch 0.531) train_loss=241.93388367 time/batch=0.47s
208/19499 (epoch 0.533) train_loss=351.06063843 time/batch=0.62s
209/19499 (epoch 0.536) train_loss=256.49319458 time/batch=0.49s
210/19499 (epoch 0.538) train_loss=480.31777954 time/batch=0.80s
211/19499 (epoch 0.541) train_loss=311.23132324 time/batch=0.62s
212/19499 (epoch 0.544) train_loss=617.59588623 time/batch=1.03s
213/19499 (epoch 0.546) train_loss=364.09973145 time/batch=0.75s
214/19499 (epoch 0.549) train_loss=326.39038086 time/batch=0.62s
215/19499 (epoch 0.551) train_loss=496.08770752 time/batch=0.85s
216/19499 (epoch 0.554) train_loss=529.58282471 time/batch=0.95s
217/19499 (epoch 0.556) train_loss=442.32067871 time/batch=0.86s
218/19499 (epoch 0.559) train_loss=322.16973877 time/batch=0.63s
219/19499 (epoch 0.562) train_loss=435.80419922 time/batch=0.79s
220/19499 (epoch 0.564) train_loss=515.73126221 time/batch=0.92s
221/19499 (epoch 0.567) train_loss=438.08801270 time/batch=0.82s
222/19499 (epoch 0.569) train_loss=605.35583496 time/batch=1.03s
223/19499 (epoch 0.572) train_loss=553.66113281 time/batch=1.01s
224/19499 (epoch 0.574) train_loss=288.19824219 time/batch=0.62s
225/19499 (epoch 0.577) train_loss=296.40618896 time/batch=0.54s
226/19499 (epoch 0.580) train_loss=569.45727539 time/batch=0.96s
227/19499 (epoch 0.582) train_loss=570.44250488 time/batch=1.05s
228/19499 (epoch 0.585) train_loss=510.23944092 time/batch=0.95s
229/19499 (epoch 0.587) train_loss=537.97619629 time/batch=0.97s
230/19499 (epoch 0.590) train_loss=491.57482910 time/batch=0.91s
231/19499 (epoch 0.592) train_loss=333.19851685 time/batch=0.67s
232/19499 (epoch 0.595) train_loss=773.14477539 time/batch=1.22s
233/19499 (epoch 0.597) train_loss=411.28863525 time/batch=0.84s
234/19499 (epoch 0.600) train_loss=327.79223633 time/batch=0.64s
235/19499 (epoch 0.603) train_loss=414.95355225 time/batch=0.75s
236/19499 (epoch 0.605) train_loss=324.91998291 time/batch=0.63s
237/19499 (epoch 0.608) train_loss=540.32092285 time/batch=0.90s
238/19499 (epoch 0.610) train_loss=887.66131592 time/batch=1.48s
239/19499 (epoch 0.613) train_loss=503.22180176 time/batch=1.02s
240/19499 (epoch 0.615) train_loss=512.74176025 time/batch=0.94s
241/19499 (epoch 0.618) train_loss=733.20166016 time/batch=1.24s
242/19499 (epoch 0.621) train_loss=264.06445312 time/batch=0.63s
243/19499 (epoch 0.623) train_loss=296.46649170 time/batch=0.56s
244/19499 (epoch 0.626) train_loss=699.41748047 time/batch=1.14s
245/19499 (epoch 0.628) train_loss=455.43078613 time/batch=0.91s
246/19499 (epoch 0.631) train_loss=599.61395264 time/batch=1.02s
247/19499 (epoch 0.633) train_loss=406.18237305 time/batch=0.79s
248/19499 (epoch 0.636) train_loss=713.89025879 time/batch=1.45s
249/19499 (epoch 0.638) train_loss=737.19030762 time/batch=1.56s
250/19499 (epoch 0.641) train_loss=513.12298584 time/batch=1.05s
251/19499 (epoch 0.644) train_loss=443.69732666 time/batch=0.84s
252/19499 (epoch 0.646) train_loss=670.11505127 time/batch=1.15s
253/19499 (epoch 0.649) train_loss=327.96240234 time/batch=0.72s
254/19499 (epoch 0.651) train_loss=326.10278320 time/batch=0.63s
255/19499 (epoch 0.654) train_loss=424.10186768 time/batch=0.76s
256/19499 (epoch 0.656) train_loss=468.22189331 time/batch=0.86s
257/19499 (epoch 0.659) train_loss=312.88232422 time/batch=0.64s
258/19499 (epoch 0.662) train_loss=616.34637451 time/batch=1.00s
259/19499 (epoch 0.664) train_loss=424.94097900 time/batch=0.67s
260/19499 (epoch 0.667) train_loss=414.03125000 time/batch=0.63s
261/19499 (epoch 0.669) train_loss=570.16943359 time/batch=0.98s
262/19499 (epoch 0.672) train_loss=433.49554443 time/batch=0.83s
263/19499 (epoch 0.674) train_loss=392.41351318 time/batch=0.75s
264/19499 (epoch 0.677) train_loss=431.37017822 time/batch=0.80s
265/19499 (epoch 0.680) train_loss=674.79235840 time/batch=1.12s
266/19499 (epoch 0.682) train_loss=374.18560791 time/batch=0.77s
267/19499 (epoch 0.685) train_loss=447.22790527 time/batch=0.79s
268/19499 (epoch 0.687) train_loss=264.45639038 time/batch=0.31s
269/19499 (epoch 0.690) train_loss=361.60705566 time/batch=0.44s
270/19499 (epoch 0.692) train_loss=698.06225586 time/batch=1.15s
271/19499 (epoch 0.695) train_loss=542.96502686 time/batch=1.01s
272/19499 (epoch 0.697) train_loss=333.76898193 time/batch=0.70s
273/19499 (epoch 0.700) train_loss=385.75927734 time/batch=0.70s
274/19499 (epoch 0.703) train_loss=358.58728027 time/batch=0.69s
275/19499 (epoch 0.705) train_loss=430.01702881 time/batch=0.76s
276/19499 (epoch 0.708) train_loss=426.51489258 time/batch=0.80s
277/19499 (epoch 0.710) train_loss=517.03198242 time/batch=0.91s
278/19499 (epoch 0.713) train_loss=303.63208008 time/batch=0.64s
279/19499 (epoch 0.715) train_loss=358.29177856 time/batch=0.66s
280/19499 (epoch 0.718) train_loss=549.75158691 time/batch=0.94s
281/19499 (epoch 0.721) train_loss=369.21520996 time/batch=0.74s
282/19499 (epoch 0.723) train_loss=487.90591431 time/batch=0.88s
283/19499 (epoch 0.726) train_loss=334.19622803 time/batch=0.68s
284/19499 (epoch 0.728) train_loss=505.37310791 time/batch=0.89s
285/19499 (epoch 0.731) train_loss=693.48883057 time/batch=1.19s
286/19499 (epoch 0.733) train_loss=354.47491455 time/batch=0.76s
287/19499 (epoch 0.736) train_loss=370.45043945 time/batch=0.69s
288/19499 (epoch 0.738) train_loss=433.91024780 time/batch=0.81s
289/19499 (epoch 0.741) train_loss=460.57244873 time/batch=0.87s
290/19499 (epoch 0.744) train_loss=415.65646362 time/batch=0.78s
291/19499 (epoch 0.746) train_loss=553.22021484 time/batch=0.97s
292/19499 (epoch 0.749) train_loss=497.62731934 time/batch=0.93s
293/19499 (epoch 0.751) train_loss=351.17565918 time/batch=0.70s
294/19499 (epoch 0.754) train_loss=405.27404785 time/batch=0.72s
295/19499 (epoch 0.756) train_loss=237.36645508 time/batch=0.51s
296/19499 (epoch 0.759) train_loss=619.97143555 time/batch=1.05s
297/19499 (epoch 0.762) train_loss=463.25723267 time/batch=0.90s
298/19499 (epoch 0.764) train_loss=409.55477905 time/batch=0.78s
299/19499 (epoch 0.767) train_loss=425.62829590 time/batch=0.79s
300/19499 (epoch 0.769) train_loss=488.57934570 time/batch=0.88s
301/19499 (epoch 0.772) train_loss=425.56475830 time/batch=0.81s
302/19499 (epoch 0.774) train_loss=504.47961426 time/batch=0.92s
303/19499 (epoch 0.777) train_loss=515.27136230 time/batch=0.94s
304/19499 (epoch 0.780) train_loss=451.12164307 time/batch=0.87s
305/19499 (epoch 0.782) train_loss=497.98629761 time/batch=0.91s
306/19499 (epoch 0.785) train_loss=568.73199463 time/batch=1.03s
307/19499 (epoch 0.787) train_loss=334.50817871 time/batch=0.70s
308/19499 (epoch 0.790) train_loss=345.44287109 time/batch=0.64s
309/19499 (epoch 0.792) train_loss=376.54852295 time/batch=0.68s
310/19499 (epoch 0.795) train_loss=320.56011963 time/batch=0.62s
311/19499 (epoch 0.797) train_loss=501.24237061 time/batch=0.85s
312/19499 (epoch 0.800) train_loss=471.59680176 time/batch=0.88s
313/19499 (epoch 0.803) train_loss=361.53765869 time/batch=0.71s
314/19499 (epoch 0.805) train_loss=541.47644043 time/batch=0.93s
315/19499 (epoch 0.808) train_loss=438.30603027 time/batch=0.85s
316/19499 (epoch 0.810) train_loss=479.27740479 time/batch=0.86s
317/19499 (epoch 0.813) train_loss=459.49572754 time/batch=0.85s
318/19499 (epoch 0.815) train_loss=533.94653320 time/batch=0.94s
319/19499 (epoch 0.818) train_loss=427.74273682 time/batch=0.83s
320/19499 (epoch 0.821) train_loss=475.96398926 time/batch=0.88s
321/19499 (epoch 0.823) train_loss=451.59960938 time/batch=0.86s
322/19499 (epoch 0.826) train_loss=260.85833740 time/batch=0.56s
323/19499 (epoch 0.828) train_loss=433.51095581 time/batch=0.77s
324/19499 (epoch 0.831) train_loss=424.76690674 time/batch=0.80s
325/19499 (epoch 0.833) train_loss=323.63522339 time/batch=0.64s
326/19499 (epoch 0.836) train_loss=494.50134277 time/batch=0.87s
327/19499 (epoch 0.838) train_loss=389.42962646 time/batch=0.74s
328/19499 (epoch 0.841) train_loss=560.50262451 time/batch=1.01s
329/19499 (epoch 0.844) train_loss=344.38021851 time/batch=0.74s
330/19499 (epoch 0.846) train_loss=317.95037842 time/batch=0.60s
331/19499 (epoch 0.849) train_loss=342.28741455 time/batch=0.65s
332/19499 (epoch 0.851) train_loss=417.05606079 time/batch=0.77s
333/19499 (epoch 0.854) train_loss=248.29101562 time/batch=0.51s
334/19499 (epoch 0.856) train_loss=447.69812012 time/batch=0.77s
335/19499 (epoch 0.859) train_loss=341.34289551 time/batch=0.69s
336/19499 (epoch 0.862) train_loss=258.51635742 time/batch=0.52s
337/19499 (epoch 0.864) train_loss=239.56237793 time/batch=0.47s
338/19499 (epoch 0.867) train_loss=492.25680542 time/batch=0.82s
339/19499 (epoch 0.869) train_loss=345.75262451 time/batch=0.70s
340/19499 (epoch 0.872) train_loss=331.02792358 time/batch=0.65s
341/19499 (epoch 0.874) train_loss=309.52954102 time/batch=0.61s
342/19499 (epoch 0.877) train_loss=361.82611084 time/batch=0.66s
343/19499 (epoch 0.880) train_loss=567.77136230 time/batch=0.95s
344/19499 (epoch 0.882) train_loss=440.70925903 time/batch=0.84s
345/19499 (epoch 0.885) train_loss=498.14758301 time/batch=0.88s
346/19499 (epoch 0.887) train_loss=529.72290039 time/batch=0.95s
347/19499 (epoch 0.890) train_loss=355.43481445 time/batch=0.72s
348/19499 (epoch 0.892) train_loss=301.34201050 time/batch=0.61s
349/19499 (epoch 0.895) train_loss=538.29125977 time/batch=0.90s
350/19499 (epoch 0.897) train_loss=325.13647461 time/batch=0.67s
351/19499 (epoch 0.900) train_loss=459.94598389 time/batch=0.82s
352/19499 (epoch 0.903) train_loss=363.45440674 time/batch=0.70s
353/19499 (epoch 0.905) train_loss=390.68408203 time/batch=0.69s
354/19499 (epoch 0.908) train_loss=469.04119873 time/batch=0.84s
355/19499 (epoch 0.910) train_loss=463.03009033 time/batch=0.86s
356/19499 (epoch 0.913) train_loss=356.74945068 time/batch=0.70s
357/19499 (epoch 0.915) train_loss=465.62719727 time/batch=0.85s
358/19499 (epoch 0.918) train_loss=339.27218628 time/batch=0.68s
359/19499 (epoch 0.921) train_loss=316.66180420 time/batch=0.60s
360/19499 (epoch 0.923) train_loss=444.61303711 time/batch=0.83s
361/19499 (epoch 0.926) train_loss=434.67044067 time/batch=0.81s
362/19499 (epoch 0.928) train_loss=504.50207520 time/batch=0.87s
363/19499 (epoch 0.931) train_loss=374.21191406 time/batch=0.72s
364/19499 (epoch 0.933) train_loss=364.86203003 time/batch=0.67s
365/19499 (epoch 0.936) train_loss=506.00622559 time/batch=0.88s
366/19499 (epoch 0.938) train_loss=394.47525024 time/batch=0.80s
367/19499 (epoch 0.941) train_loss=429.20336914 time/batch=0.80s
368/19499 (epoch 0.944) train_loss=432.68768311 time/batch=0.82s
369/19499 (epoch 0.946) train_loss=339.77648926 time/batch=0.67s
370/19499 (epoch 0.949) train_loss=337.64306641 time/batch=0.65s
371/19499 (epoch 0.951) train_loss=358.08807373 time/batch=0.67s
372/19499 (epoch 0.954) train_loss=411.14233398 time/batch=0.76s
373/19499 (epoch 0.956) train_loss=341.16552734 time/batch=0.67s
374/19499 (epoch 0.959) train_loss=322.53619385 time/batch=0.63s
375/19499 (epoch 0.962) train_loss=513.73193359 time/batch=0.87s
376/19499 (epoch 0.964) train_loss=428.81005859 time/batch=0.86s
377/19499 (epoch 0.967) train_loss=392.75131226 time/batch=0.78s
378/19499 (epoch 0.969) train_loss=428.12521362 time/batch=0.81s
379/19499 (epoch 0.972) train_loss=336.90594482 time/batch=0.67s
380/19499 (epoch 0.974) train_loss=339.72991943 time/batch=0.64s
381/19499 (epoch 0.977) train_loss=439.77093506 time/batch=0.78s
382/19499 (epoch 0.980) train_loss=526.93017578 time/batch=0.94s
383/19499 (epoch 0.982) train_loss=404.67602539 time/batch=0.86s
384/19499 (epoch 0.985) train_loss=507.53393555 time/batch=0.91s
385/19499 (epoch 0.987) train_loss=434.20831299 time/batch=0.92s
386/19499 (epoch 0.990) train_loss=325.71234131 time/batch=0.68s
387/19499 (epoch 0.992) train_loss=512.72448730 time/batch=0.89s
388/19499 (epoch 0.995) train_loss=326.40014648 time/batch=0.68s
389/19499 (epoch 0.997) train_loss=386.26080322 time/batch=0.91s
