vocabulary size: 226
n tunes: 4083
n train tunes: 3891.0
n validation tunes: 192.0
19522/10943 (epoch 160.551) train_loss=237.90335083 time/batch=1.18s
19523/10943 (epoch 160.559) train_loss=102.83616638 time/batch=0.59s
19524/10943 (epoch 160.567) train_loss=266.57958984 time/batch=1.18s
19525/10943 (epoch 160.576) train_loss=119.28843689 time/batch=0.74s
19526/10943 (epoch 160.584) train_loss=112.80793762 time/batch=0.59s
19527/10943 (epoch 160.592) train_loss=227.45516968 time/batch=1.16s
19528/10943 (epoch 160.600) train_loss=212.74182129 time/batch=1.16s
19529/10943 (epoch 160.609) train_loss=345.18771362 time/batch=1.63s
19530/10943 (epoch 160.617) train_loss=292.46582031 time/batch=1.45s
19531/10943 (epoch 160.625) train_loss=105.21248627 time/batch=0.58s
19532/10943 (epoch 160.633) train_loss=172.78506470 time/batch=0.89s
19533/10943 (epoch 160.641) train_loss=278.52819824 time/batch=1.28s
19534/10943 (epoch 160.650) train_loss=136.74998474 time/batch=0.82s
19535/10943 (epoch 160.658) train_loss=77.97678375 time/batch=0.38s
19536/10943 (epoch 160.666) train_loss=327.53619385 time/batch=1.48s
19537/10943 (epoch 160.674) train_loss=197.67968750 time/batch=1.11s
19538/10943 (epoch 160.683) train_loss=292.97943115 time/batch=1.46s
19539/10943 (epoch 160.691) train_loss=182.33943176 time/batch=1.06s
19540/10943 (epoch 160.699) train_loss=149.27774048 time/batch=0.82s
19541/10943 (epoch 160.707) train_loss=301.81289673 time/batch=1.60s
19542/10943 (epoch 160.715) train_loss=253.06890869 time/batch=1.32s
19543/10943 (epoch 160.724) train_loss=120.37744141 time/batch=0.72s
19544/10943 (epoch 160.732) train_loss=146.96183777 time/batch=0.84s
19545/10943 (epoch 160.740) train_loss=240.74003601 time/batch=1.14s
19546/10943 (epoch 160.748) train_loss=320.85534668 time/batch=1.48s
19547/10943 (epoch 160.757) train_loss=96.46903229 time/batch=0.57s
19548/10943 (epoch 160.765) train_loss=173.24504089 time/batch=0.92s
19549/10943 (epoch 160.773) train_loss=237.60595703 time/batch=1.19s
19550/10943 (epoch 160.781) train_loss=280.24313354 time/batch=1.38s
19551/10943 (epoch 160.790) train_loss=90.31941223 time/batch=0.54s
19552/10943 (epoch 160.798) train_loss=191.99343872 time/batch=0.96s
19553/10943 (epoch 160.806) train_loss=104.02985382 time/batch=0.52s
19554/10943 (epoch 160.814) train_loss=158.48770142 time/batch=0.85s
19555/10943 (epoch 160.822) train_loss=104.74191284 time/batch=0.58s
19556/10943 (epoch 160.831) train_loss=200.67739868 time/batch=0.98s
19557/10943 (epoch 160.839) train_loss=235.66839600 time/batch=1.21s
19558/10943 (epoch 160.847) train_loss=185.88354492 time/batch=1.03s
19559/10943 (epoch 160.855) train_loss=133.64886475 time/batch=0.75s
19560/10943 (epoch 160.864) train_loss=131.09529114 time/batch=0.69s
19561/10943 (epoch 160.872) train_loss=82.76403809 time/batch=0.40s
19562/10943 (epoch 160.880) train_loss=136.67773438 time/batch=0.68s
19563/10943 (epoch 160.888) train_loss=91.84765625 time/batch=0.46s
19564/10943 (epoch 160.896) train_loss=95.39013672 time/batch=0.50s
19565/10943 (epoch 160.905) train_loss=134.31784058 time/batch=0.72s
19566/10943 (epoch 160.913) train_loss=297.12402344 time/batch=1.37s
19567/10943 (epoch 160.921) train_loss=123.65429688 time/batch=0.72s
19568/10943 (epoch 160.929) train_loss=195.48040771 time/batch=1.00s
19569/10943 (epoch 160.938) train_loss=103.09173584 time/batch=0.65s
19570/10943 (epoch 160.946) train_loss=156.03543091 time/batch=0.83s
19571/10943 (epoch 160.954) train_loss=168.49035645 time/batch=0.97s
19572/10943 (epoch 160.962) train_loss=171.93753052 time/batch=0.98s
19573/10943 (epoch 160.970) train_loss=203.93811035 time/batch=1.04s
19574/10943 (epoch 160.979) train_loss=132.74163818 time/batch=0.80s
19575/10943 (epoch 160.987) train_loss=77.69937134 time/batch=0.42s
19576/10943 (epoch 160.995) train_loss=152.98614502 time/batch=0.76s
19577/10943 (epoch 161.003) train_loss=200.41166687 time/batch=1.03s
19578/10943 (epoch 161.012) train_loss=210.61770630 time/batch=1.25s
19579/10943 (epoch 161.020) train_loss=119.14479065 time/batch=0.66s
19580/10943 (epoch 161.028) train_loss=172.34252930 time/batch=0.94s
19581/10943 (epoch 161.036) train_loss=191.22140503 time/batch=1.06s
19582/10943 (epoch 161.044) train_loss=175.61242676 time/batch=0.94s
19583/10943 (epoch 161.053) train_loss=291.66436768 time/batch=1.74s
19584/10943 (epoch 161.061) train_loss=128.20141602 time/batch=0.75s
19585/10943 (epoch 161.069) train_loss=136.55364990 time/batch=0.77s
19586/10943 (epoch 161.077) train_loss=196.84199524 time/batch=1.05s
19587/10943 (epoch 161.086) train_loss=101.15972900 time/batch=0.59s
19588/10943 (epoch 161.094) train_loss=155.53051758 time/batch=0.80s
19589/10943 (epoch 161.102) train_loss=142.64639282 time/batch=0.78s
19590/10943 (epoch 161.110) train_loss=131.76811218 time/batch=0.74s
19591/10943 (epoch 161.118) train_loss=127.23008728 time/batch=0.74s
19592/10943 (epoch 161.127) train_loss=158.57470703 time/batch=0.80s
19593/10943 (epoch 161.135) train_loss=94.65814972 time/batch=0.58s
19594/10943 (epoch 161.143) train_loss=105.22982788 time/batch=0.54s
19595/10943 (epoch 161.151) train_loss=88.34442139 time/batch=0.56s
19596/10943 (epoch 161.160) train_loss=129.22477722 time/batch=0.74s
19597/10943 (epoch 161.168) train_loss=171.15365601 time/batch=0.87s
19598/10943 (epoch 161.176) train_loss=116.35569000 time/batch=0.69s
19599/10943 (epoch 161.184) train_loss=117.65881348 time/batch=0.62s
19600/10943 (epoch 161.192) train_loss=123.64476013 time/batch=0.63s
19601/10943 (epoch 161.201) train_loss=175.23318481 time/batch=0.90s
19602/10943 (epoch 161.209) train_loss=82.01115417 time/batch=0.44s
19603/10943 (epoch 161.217) train_loss=201.48323059 time/batch=1.02s
19604/10943 (epoch 161.225) train_loss=136.57351685 time/batch=0.76s
19605/10943 (epoch 161.234) train_loss=106.45046997 time/batch=0.63s
19606/10943 (epoch 161.242) train_loss=137.45120239 time/batch=0.73s
19607/10943 (epoch 161.250) train_loss=129.46208191 time/batch=0.67s
19608/10943 (epoch 161.258) train_loss=156.95715332 time/batch=0.81s
19609/10943 (epoch 161.267) train_loss=112.87040710 time/batch=0.71s
19610/10943 (epoch 161.275) train_loss=177.09005737 time/batch=0.88s
19611/10943 (epoch 161.283) train_loss=143.19638062 time/batch=0.84s
19612/10943 (epoch 161.291) train_loss=155.36395264 time/batch=0.84s
19613/10943 (epoch 161.299) train_loss=214.85455322 time/batch=1.23s
19614/10943 (epoch 161.308) train_loss=132.84854126 time/batch=0.80s
19615/10943 (epoch 161.316) train_loss=188.04376221 time/batch=1.06s
19616/10943 (epoch 161.324) train_loss=142.05999756 time/batch=0.85s
19617/10943 (epoch 161.332) train_loss=188.25653076 time/batch=0.88s
19618/10943 (epoch 161.341) train_loss=178.01516724 time/batch=1.07s
19619/10943 (epoch 161.349) train_loss=149.92137146 time/batch=0.87s
19620/10943 (epoch 161.357) train_loss=166.71006775 time/batch=0.87s
19621/10943 (epoch 161.365) train_loss=156.91249084 time/batch=0.89s
setting learning rate to 0.0012030
19622/10943 (epoch 161.373) train_loss=88.45468140 time/batch=0.56s
19623/10943 (epoch 161.382) train_loss=138.32250977 time/batch=0.78s
19624/10943 (epoch 161.390) train_loss=225.86614990 time/batch=1.27s
19625/10943 (epoch 161.398) train_loss=275.21893311 time/batch=1.55s
19626/10943 (epoch 161.406) train_loss=587.51654053 time/batch=3.84s
19627/10943 (epoch 161.415) train_loss=353.93786621 time/batch=2.00s
19628/10943 (epoch 161.423) train_loss=159.46221924 time/batch=1.09s
19629/10943 (epoch 161.431) train_loss=242.70861816 time/batch=1.26s
19630/10943 (epoch 161.439) train_loss=157.47776794 time/batch=0.99s
19631/10943 (epoch 161.447) train_loss=166.08416748 time/batch=1.04s
19632/10943 (epoch 161.456) train_loss=108.89805603 time/batch=0.68s
19633/10943 (epoch 161.464) train_loss=422.09594727 time/batch=2.02s
19634/10943 (epoch 161.472) train_loss=131.50175476 time/batch=1.03s
19635/10943 (epoch 161.480) train_loss=264.48071289 time/batch=1.36s
19636/10943 (epoch 161.489) train_loss=60.75106049 time/batch=0.43s
19637/10943 (epoch 161.497) train_loss=183.62228394 time/batch=0.98s
19638/10943 (epoch 161.505) train_loss=346.55355835 time/batch=1.90s
19639/10943 (epoch 161.513) train_loss=121.38729858 time/batch=0.85s
19640/10943 (epoch 161.521) train_loss=159.33496094 time/batch=0.95s
19641/10943 (epoch 161.530) train_loss=314.16201782 time/batch=1.69s
19642/10943 (epoch 161.538) train_loss=87.59628296 time/batch=0.57s
19643/10943 (epoch 161.546) train_loss=98.08744812 time/batch=0.56s
19644/10943 (epoch 161.554) train_loss=114.26246643 time/batch=0.74s
19645/10943 (epoch 161.563) train_loss=246.76145935 time/batch=1.30s
19646/10943 (epoch 161.571) train_loss=98.45578003 time/batch=0.62s
19647/10943 (epoch 161.579) train_loss=140.62763977 time/batch=0.82s
19648/10943 (epoch 161.587) train_loss=77.02999115 time/batch=0.43s
19649/10943 (epoch 161.595) train_loss=210.54194641 time/batch=1.13s
19650/10943 (epoch 161.604) train_loss=171.29991150 time/batch=1.09s
19651/10943 (epoch 161.612) train_loss=261.80346680 time/batch=1.45s
19652/10943 (epoch 161.620) train_loss=151.56942749 time/batch=1.03s
19653/10943 (epoch 161.628) train_loss=121.29757690 time/batch=0.75s
19654/10943 (epoch 161.637) train_loss=102.18442535 time/batch=0.60s
19655/10943 (epoch 161.645) train_loss=135.40808105 time/batch=0.77s
19656/10943 (epoch 161.653) train_loss=107.61604309 time/batch=0.64s
19657/10943 (epoch 161.661) train_loss=148.20666504 time/batch=0.87s
19658/10943 (epoch 161.669) train_loss=196.34742737 time/batch=1.10s
19659/10943 (epoch 161.678) train_loss=74.43914795 time/batch=0.44s
19660/10943 (epoch 161.686) train_loss=171.19766235 time/batch=0.99s
19661/10943 (epoch 161.694) train_loss=280.80773926 time/batch=1.48s
19662/10943 (epoch 161.702) train_loss=234.65768433 time/batch=1.28s
19663/10943 (epoch 161.711) train_loss=69.86038971 time/batch=0.49s
19664/10943 (epoch 161.719) train_loss=161.51625061 time/batch=0.93s
19665/10943 (epoch 161.727) train_loss=183.57485962 time/batch=1.12s
19666/10943 (epoch 161.735) train_loss=82.74801636 time/batch=0.50s
19667/10943 (epoch 161.744) train_loss=161.71249390 time/batch=0.95s
19668/10943 (epoch 161.752) train_loss=95.26731873 time/batch=0.60s
19669/10943 (epoch 161.760) train_loss=188.33544922 time/batch=1.09s
19670/10943 (epoch 161.768) train_loss=171.61785889 time/batch=1.10s
19671/10943 (epoch 161.776) train_loss=75.23663330 time/batch=0.50s
19672/10943 (epoch 161.785) train_loss=257.74670410 time/batch=1.28s
19673/10943 (epoch 161.793) train_loss=145.27539062 time/batch=0.93s
19674/10943 (epoch 161.801) train_loss=91.17480469 time/batch=0.52s
19675/10943 (epoch 161.809) train_loss=161.09765625 time/batch=0.84s
19676/10943 (epoch 161.818) train_loss=135.72059631 time/batch=0.84s
19677/10943 (epoch 161.826) train_loss=72.25988770 time/batch=0.39s
19678/10943 (epoch 161.834) train_loss=241.60473633 time/batch=1.28s
19679/10943 (epoch 161.842) train_loss=248.86033630 time/batch=1.41s
19680/10943 (epoch 161.850) train_loss=81.15283203 time/batch=0.55s
19681/10943 (epoch 161.859) train_loss=202.12469482 time/batch=1.10s
19682/10943 (epoch 161.867) train_loss=166.02716064 time/batch=0.97s
19683/10943 (epoch 161.875) train_loss=118.54289246 time/batch=0.76s
19684/10943 (epoch 161.883) train_loss=91.24413300 time/batch=0.56s
19685/10943 (epoch 161.892) train_loss=324.13122559 time/batch=1.70s
19686/10943 (epoch 161.900) train_loss=113.88441467 time/batch=0.80s
19687/10943 (epoch 161.908) train_loss=253.36650085 time/batch=1.49s
19688/10943 (epoch 161.916) train_loss=118.89167786 time/batch=0.81s
19689/10943 (epoch 161.924) train_loss=141.49255371 time/batch=0.83s
19690/10943 (epoch 161.933) train_loss=79.73919678 time/batch=0.48s
19691/10943 (epoch 161.941) train_loss=107.32695007 time/batch=0.66s
19692/10943 (epoch 161.949) train_loss=122.56157684 time/batch=0.77s
19693/10943 (epoch 161.957) train_loss=93.21463776 time/batch=0.51s
19694/10943 (epoch 161.966) train_loss=97.37269592 time/batch=0.59s
19695/10943 (epoch 161.974) train_loss=144.22941589 time/batch=0.90s
19696/10943 (epoch 161.982) train_loss=140.54936218 time/batch=0.86s
19697/10943 (epoch 161.990) train_loss=113.00123596 time/batch=0.75s
19698/10943 (epoch 161.998) train_loss=118.42702484 time/batch=0.70s
19699/10943 (epoch 162.007) train_loss=143.24096680 time/batch=0.86s
19700/10943 (epoch 162.015) train_loss=175.25849915 time/batch=1.06s
19701/10943 (epoch 162.023) train_loss=100.26934814 time/batch=0.71s
19702/10943 (epoch 162.031) train_loss=156.33018494 time/batch=0.88s
19703/10943 (epoch 162.040) train_loss=106.72366333 time/batch=0.68s
19704/10943 (epoch 162.048) train_loss=110.90087891 time/batch=0.63s
19705/10943 (epoch 162.056) train_loss=150.99755859 time/batch=0.89s
19706/10943 (epoch 162.064) train_loss=122.11040497 time/batch=0.76s
19707/10943 (epoch 162.072) train_loss=220.88272095 time/batch=1.14s
19708/10943 (epoch 162.081) train_loss=98.13934326 time/batch=0.64s
19709/10943 (epoch 162.089) train_loss=121.56106567 time/batch=0.74s
19710/10943 (epoch 162.097) train_loss=132.34149170 time/batch=0.79s
19711/10943 (epoch 162.105) train_loss=102.86019897 time/batch=0.61s
19712/10943 (epoch 162.114) train_loss=216.86782837 time/batch=1.19s
19713/10943 (epoch 162.122) train_loss=154.14096069 time/batch=1.03s
19714/10943 (epoch 162.130) train_loss=153.57617188 time/batch=0.99s
19715/10943 (epoch 162.138) train_loss=99.54390717 time/batch=0.60s
19716/10943 (epoch 162.146) train_loss=134.77468872 time/batch=0.77s
19717/10943 (epoch 162.155) train_loss=101.16747284 time/batch=0.62s
19718/10943 (epoch 162.163) train_loss=79.45449829 time/batch=0.45s
19719/10943 (epoch 162.171) train_loss=146.90539551 time/batch=0.80s
19720/10943 (epoch 162.179) train_loss=116.47293854 time/batch=0.78s
19721/10943 (epoch 162.188) train_loss=214.72143555 time/batch=1.20s
19722/10943 (epoch 162.196) train_loss=93.15643311 time/batch=0.56s
19723/10943 (epoch 162.204) train_loss=125.56053162 time/batch=0.69s
19724/10943 (epoch 162.212) train_loss=122.51976776 time/batch=0.66s
19725/10943 (epoch 162.221) train_loss=98.17723083 time/batch=0.66s
19726/10943 (epoch 162.229) train_loss=140.81588745 time/batch=0.83s
19727/10943 (epoch 162.237) train_loss=110.27062225 time/batch=0.67s
19728/10943 (epoch 162.245) train_loss=141.78109741 time/batch=0.79s
19729/10943 (epoch 162.253) train_loss=143.52534485 time/batch=0.82s
19730/10943 (epoch 162.262) train_loss=159.91777039 time/batch=0.90s
19731/10943 (epoch 162.270) train_loss=108.20573425 time/batch=0.75s
19732/10943 (epoch 162.278) train_loss=130.63021851 time/batch=0.77s
19733/10943 (epoch 162.286) train_loss=211.63694763 time/batch=1.15s
19734/10943 (epoch 162.295) train_loss=169.90771484 time/batch=1.02s
19735/10943 (epoch 162.303) train_loss=164.76554871 time/batch=0.95s
19736/10943 (epoch 162.311) train_loss=182.16719055 time/batch=1.05s
19737/10943 (epoch 162.319) train_loss=141.70759583 time/batch=0.94s
19738/10943 (epoch 162.327) train_loss=180.69316101 time/batch=1.03s
19739/10943 (epoch 162.336) train_loss=114.34577942 time/batch=0.77s
19740/10943 (epoch 162.344) train_loss=188.32760620 time/batch=1.13s
19741/10943 (epoch 162.352) train_loss=178.01202393 time/batch=1.05s
19742/10943 (epoch 162.360) train_loss=152.49189758 time/batch=1.02s
setting learning rate to 0.0011669
19743/10943 (epoch 162.369) train_loss=136.45509338 time/batch=1.00s
19744/10943 (epoch 162.377) train_loss=142.39990234 time/batch=1.00s
19745/10943 (epoch 162.385) train_loss=407.21185303 time/batch=2.16s
19746/10943 (epoch 162.393) train_loss=83.00164795 time/batch=0.74s
19747/10943 (epoch 162.401) train_loss=90.21101379 time/batch=0.63s
19748/10943 (epoch 162.410) train_loss=103.90850067 time/batch=0.67s
19749/10943 (epoch 162.418) train_loss=204.24691772 time/batch=1.19s
19750/10943 (epoch 162.426) train_loss=107.92321777 time/batch=0.79s
19751/10943 (epoch 162.434) train_loss=232.91220093 time/batch=1.38s
19752/10943 (epoch 162.443) train_loss=94.33432770 time/batch=0.68s
19753/10943 (epoch 162.451) train_loss=504.47525024 time/batch=3.74s
19754/10943 (epoch 162.459) train_loss=231.06954956 time/batch=1.62s
19755/10943 (epoch 162.467) train_loss=214.92987061 time/batch=1.30s
19756/10943 (epoch 162.475) train_loss=106.44418335 time/batch=0.85s
19757/10943 (epoch 162.484) train_loss=298.94854736 time/batch=1.67s
19758/10943 (epoch 162.492) train_loss=234.75849915 time/batch=1.40s
19759/10943 (epoch 162.500) train_loss=296.82678223 time/batch=1.86s
19760/10943 (epoch 162.508) train_loss=88.97431946 time/batch=0.75s
19761/10943 (epoch 162.517) train_loss=84.43485260 time/batch=0.49s
19762/10943 (epoch 162.525) train_loss=285.85675049 time/batch=1.50s
19763/10943 (epoch 162.533) train_loss=142.11151123 time/batch=1.01s
19764/10943 (epoch 162.541) train_loss=242.39234924 time/batch=1.56s
19765/10943 (epoch 162.549) train_loss=148.81555176 time/batch=1.13s
19766/10943 (epoch 162.558) train_loss=88.69197083 time/batch=0.58s
19767/10943 (epoch 162.566) train_loss=183.09548950 time/batch=1.10s
19768/10943 (epoch 162.574) train_loss=106.95567322 time/batch=0.81s
19769/10943 (epoch 162.582) train_loss=129.69702148 time/batch=0.97s
19770/10943 (epoch 162.591) train_loss=79.28921509 time/batch=0.55s
19771/10943 (epoch 162.599) train_loss=299.95281982 time/batch=1.84s
19772/10943 (epoch 162.607) train_loss=98.61195374 time/batch=0.84s
19773/10943 (epoch 162.615) train_loss=146.08119202 time/batch=0.97s
19774/10943 (epoch 162.623) train_loss=241.61126709 time/batch=1.45s
19775/10943 (epoch 162.632) train_loss=245.49928284 time/batch=1.42s
19776/10943 (epoch 162.640) train_loss=192.17874146 time/batch=1.25s
19777/10943 (epoch 162.648) train_loss=187.42138672 time/batch=1.18s
19778/10943 (epoch 162.656) train_loss=118.32505798 time/batch=0.84s
19779/10943 (epoch 162.665) train_loss=140.77320862 time/batch=0.89s
19780/10943 (epoch 162.673) train_loss=78.88925171 time/batch=0.51s
19781/10943 (epoch 162.681) train_loss=72.17675018 time/batch=0.43s
19782/10943 (epoch 162.689) train_loss=244.20710754 time/batch=1.41s
19783/10943 (epoch 162.698) train_loss=112.09881592 time/batch=0.81s
19784/10943 (epoch 162.706) train_loss=72.44483948 time/batch=0.47s
19785/10943 (epoch 162.714) train_loss=126.80168915 time/batch=0.79s
19786/10943 (epoch 162.722) train_loss=63.50697327 time/batch=0.42s
19787/10943 (epoch 162.730) train_loss=65.31057739 time/batch=0.36s
19788/10943 (epoch 162.739) train_loss=104.36315918 time/batch=0.69s
19789/10943 (epoch 162.747) train_loss=135.63894653 time/batch=0.87s
19790/10943 (epoch 162.755) train_loss=128.45928955 time/batch=0.83s
19791/10943 (epoch 162.763) train_loss=126.46155548 time/batch=0.92s
19792/10943 (epoch 162.772) train_loss=66.84366608 time/batch=0.46s
19793/10943 (epoch 162.780) train_loss=62.32239532 time/batch=0.33s
19794/10943 (epoch 162.788) train_loss=103.33987427 time/batch=0.62s
19795/10943 (epoch 162.796) train_loss=220.14144897 time/batch=1.30s
19796/10943 (epoch 162.804) train_loss=61.12028503 time/batch=0.47s
19797/10943 (epoch 162.813) train_loss=128.55140686 time/batch=0.78s
19798/10943 (epoch 162.821) train_loss=222.62112427 time/batch=1.33s
19799/10943 (epoch 162.829) train_loss=126.27066040 time/batch=0.91s
19800/10943 (epoch 162.837) train_loss=143.74435425 time/batch=0.93s
19801/10943 (epoch 162.846) train_loss=96.92009735 time/batch=0.64s
19802/10943 (epoch 162.854) train_loss=205.56071472 time/batch=1.19s
19803/10943 (epoch 162.862) train_loss=137.40600586 time/batch=0.97s
19804/10943 (epoch 162.870) train_loss=100.63829041 time/batch=0.67s
19805/10943 (epoch 162.878) train_loss=75.31523132 time/batch=0.42s
19806/10943 (epoch 162.887) train_loss=106.54695892 time/batch=0.74s
19807/10943 (epoch 162.895) train_loss=123.33394623 time/batch=0.84s
19808/10943 (epoch 162.903) train_loss=162.95602417 time/batch=1.03s
19809/10943 (epoch 162.911) train_loss=96.81712341 time/batch=0.72s
19810/10943 (epoch 162.920) train_loss=81.36437225 time/batch=0.52s
19811/10943 (epoch 162.928) train_loss=101.73793030 time/batch=0.60s
19812/10943 (epoch 162.936) train_loss=141.73248291 time/batch=0.94s
19813/10943 (epoch 162.944) train_loss=175.23886108 time/batch=1.12s
19814/10943 (epoch 162.952) train_loss=84.88594818 time/batch=0.57s
19815/10943 (epoch 162.961) train_loss=69.31494141 time/batch=0.39s
19816/10943 (epoch 162.969) train_loss=113.04558563 time/batch=0.66s
19817/10943 (epoch 162.977) train_loss=170.87930298 time/batch=1.07s
19818/10943 (epoch 162.985) train_loss=84.31475830 time/batch=0.58s
19819/10943 (epoch 162.994) train_loss=191.80734253 time/batch=1.13s
19820/10943 (epoch 163.002) train_loss=91.44596863 time/batch=0.68s
19821/10943 (epoch 163.010) train_loss=131.54248047 time/batch=0.83s
19822/10943 (epoch 163.018) train_loss=98.16998291 time/batch=0.60s
19823/10943 (epoch 163.026) train_loss=108.05184937 time/batch=0.69s
19824/10943 (epoch 163.035) train_loss=166.80645752 time/batch=0.99s
19825/10943 (epoch 163.043) train_loss=107.71008301 time/batch=0.78s
19826/10943 (epoch 163.051) train_loss=90.94889832 time/batch=0.57s
19827/10943 (epoch 163.059) train_loss=98.95021057 time/batch=0.61s
19828/10943 (epoch 163.068) train_loss=144.16909790 time/batch=0.98s
19829/10943 (epoch 163.076) train_loss=168.95054626 time/batch=1.08s
19830/10943 (epoch 163.084) train_loss=224.74078369 time/batch=1.38s
19831/10943 (epoch 163.092) train_loss=164.10617065 time/batch=1.02s
19832/10943 (epoch 163.100) train_loss=77.26315308 time/batch=0.48s
19833/10943 (epoch 163.109) train_loss=135.51918030 time/batch=0.86s
19834/10943 (epoch 163.117) train_loss=84.29899597 time/batch=0.61s
19835/10943 (epoch 163.125) train_loss=106.50579071 time/batch=0.66s
19836/10943 (epoch 163.133) train_loss=145.70109558 time/batch=0.98s
19837/10943 (epoch 163.142) train_loss=85.68002319 time/batch=0.63s
19838/10943 (epoch 163.150) train_loss=85.09159851 time/batch=0.69s
19839/10943 (epoch 163.158) train_loss=139.80892944 time/batch=0.87s
19840/10943 (epoch 163.166) train_loss=122.58863831 time/batch=0.81s
19841/10943 (epoch 163.175) train_loss=112.08573914 time/batch=0.73s
19842/10943 (epoch 163.183) train_loss=153.54101562 time/batch=1.05s
19843/10943 (epoch 163.191) train_loss=123.61380768 time/batch=0.84s
19844/10943 (epoch 163.199) train_loss=178.26684570 time/batch=1.15s
19845/10943 (epoch 163.207) train_loss=108.47521210 time/batch=0.82s
19846/10943 (epoch 163.216) train_loss=144.37434387 time/batch=0.86s
19847/10943 (epoch 163.224) train_loss=179.49868774 time/batch=1.10s
19848/10943 (epoch 163.232) train_loss=175.14675903 time/batch=1.06s
19849/10943 (epoch 163.240) train_loss=111.78025818 time/batch=0.78s
19850/10943 (epoch 163.249) train_loss=106.17240906 time/batch=0.74s
19851/10943 (epoch 163.257) train_loss=147.78713989 time/batch=0.99s
19852/10943 (epoch 163.265) train_loss=118.42668152 time/batch=0.79s
19853/10943 (epoch 163.273) train_loss=107.33824921 time/batch=0.78s
19854/10943 (epoch 163.281) train_loss=118.80175018 time/batch=0.80s
19855/10943 (epoch 163.290) train_loss=156.23059082 time/batch=1.03s
19856/10943 (epoch 163.298) train_loss=163.45269775 time/batch=1.09s
19857/10943 (epoch 163.306) train_loss=126.41431427 time/batch=0.89s
19858/10943 (epoch 163.314) train_loss=108.14643860 time/batch=0.83s
19859/10943 (epoch 163.323) train_loss=167.97409058 time/batch=1.10s
19860/10943 (epoch 163.331) train_loss=151.01818848 time/batch=0.98s
19861/10943 (epoch 163.339) train_loss=139.38717651 time/batch=0.89s
19862/10943 (epoch 163.347) train_loss=135.84080505 time/batch=0.96s
19863/10943 (epoch 163.355) train_loss=126.46973419 time/batch=0.91s
setting learning rate to 0.0011319
19864/10943 (epoch 163.364) train_loss=167.67022705 time/batch=1.19s
19865/10943 (epoch 163.372) train_loss=346.96588135 time/batch=2.03s
19866/10943 (epoch 163.380) train_loss=105.44189453 time/batch=0.83s
19867/10943 (epoch 163.388) train_loss=170.45735168 time/batch=1.12s
19868/10943 (epoch 163.397) train_loss=263.51269531 time/batch=1.69s
19869/10943 (epoch 163.405) train_loss=123.52000427 time/batch=1.09s
19870/10943 (epoch 163.413) train_loss=179.78732300 time/batch=1.21s
19871/10943 (epoch 163.421) train_loss=223.88388062 time/batch=1.40s
19872/10943 (epoch 163.429) train_loss=274.07580566 time/batch=1.81s
19873/10943 (epoch 163.438) train_loss=234.57019043 time/batch=1.55s
19874/10943 (epoch 163.446) train_loss=294.67648315 time/batch=2.10s
19875/10943 (epoch 163.454) train_loss=225.08277893 time/batch=1.48s
19876/10943 (epoch 163.462) train_loss=161.57844543 time/batch=1.23s
19877/10943 (epoch 163.471) train_loss=465.59222412 time/batch=3.80s
19878/10943 (epoch 163.479) train_loss=284.08718872 time/batch=2.37s
